,Player,Position,Share,PTS,AST,TRB,BLK,STL
0,Anthony Davis,6,0.081,0.2945535498389064,-0.8341839406287318,0.1620711669158617,1.6915532006305158,0.19336265896545463
1,Ben Simmons,12,0.003,-1.1885169756403067,0.44268753540088895,-0.058752348037287724,0.1018541658811071,0.3409118489627681
2,Chris Paul,5,0.138,-0.8733661048028344,0.5859715876043143,-0.8623328502247086,-0.5418772050377425,-0.08082863487392
3,Chris Paul,7,0.026,-0.9179629261477597,-0.13781622031755497,-0.98645163917687,-0.6322116866187891,0.2506156706052104
4,Damian Lillard,6,0.068,0.25070249473720724,0.016426207805108485,-0.7393052154611379,-0.29594988728867244,-0.3658293931819623
5,Damian Lillard,7,0.038,0.45462813080160946,0.27476640634800575,-0.8957689321465154,-0.4554703096123935,-0.2384886288315604
6,Damian Lillard,8,0.023,0.19695760747537414,0.3007001714526981,-0.8511874895841064,-0.2826565187616957,-0.1990736303421503
7,Derrick Rose,9,0.01,-1.1052695757964461,-0.5784544655963739,-1.502076550995277,-0.4727516886974633,-0.07294563517603798
8,Giannis Antetokounmpo,1,0.932,0.17032339472771038,-0.09965232735099062,1.1466184052438437,0.49500554006644476,0.1408807316290118
9,Giannis Antetokounmpo,1,0.952,0.6248285600890057,-0.24221756323901428,1.1186338584179838,0.4687077892848168,0.013424622383365026
10,Giannis Antetokounmpo,4,0.345,0.25642003593527457,-0.12720695277472627,0.6645815575377971,0.4085986446410958,-0.1596586318527402
11,James Harden,2,0.768,0.5435965370200212,0.5429451136806202,-0.656650285675413,-0.17857548563570716,0.6644731547440165
12,James Harden,3,0.363,1.418640228560602,0.2830180588813169,-0.5183464922715761,-0.2198151402705328,0.5892263394460517
13,James Harden,13,0.001,-0.08548892770915312,1.3488565111006823,-0.3682218618246764,-0.16024675024245133,-0.19250446392724863
14,Jayson Tatum,12,0.001,-0.37784586763699707,-0.9441205535725365,-0.3162101788351993,-0.06663928019832331,0.11624635757313051
15,Jimmy Butler,11,0.009,-0.43600429547277686,0.12667095825015706,-0.4886699698003075,0.0015766898743205862,0.7634821222413385
16,Joel Embiid,2,0.58,0.4463694601821789,-0.9959880837819212,0.5679884319859112,0.4446015177349911,-0.054551969214313295
17,Joel Embiid,7,0.049,0.14960789592397192,-0.753939609471459,1.122779717207,1.066251126489585,-0.6370180580022625
18,Julius Randle,8,0.02,-0.23026701439412814,-0.0883063051176877,0.5996477172838537,-0.5569044911986727,-0.38243905809723205
19,Kawhi Leonard,5,0.166,0.024351391529274156,-0.3000987201393422,-0.10816344687729097,-0.009034683248090702,0.49725800963742817
20,Kawhi Leonard,9,0.013,0.13208950370093725,-0.905219905915498,-0.01832508535001236,-0.09609617636605593,0.4763561164991046
21,Kawhi Leonard,15,0.001,0.1538473468419463,-0.29253470531714026,-0.6555864103415373,-0.12496393461043387,0.4650690942044099
22,Kevin Durant,8,0.025,0.4162253124212571,-0.029955333632129832,-0.14902976922616581,0.22498399186222934,-0.2384886288315604
23,LeBron James,2,0.746,0.08191073502034929,1.1903410700441022,-0.32638637768096657,-0.20188485564669556,0.013424622383365026
24,LeBron James,12,0.001,0.36543448811175877,0.20416893467412092,-0.15150651603518853,-0.009034683248090704,0.037416360594310305
25,LeBron James,14,0.001,0.03214326772238911,0.3615881416984976,-0.12286240076562145,-0.2807781079915794,-0.3464514507808142
26,Luka Dončić,4,0.198,0.5483265029202405,0.7904946896799566,0.37530878818398467,-0.5909720319839634,0.06249863236029855
27,Luka Dončić,6,0.042,0.3171751258834338,0.8588398987058604,0.08066157614972368,-0.12299160330181176,-0.2025010215151425
28,Nikola Jokić,1,0.961,0.13253997664381528,0.5730047050519682,0.7648898033032173,-0.19624962333634674,0.3527363485095911
29,Nikola Jokić,4,0.21,-0.8023415374757309,0.3352785249256213,0.3339358585332643,-0.07624004635669542,0.06807247053051817
30,Nikola Jokić,9,0.018,-0.908052521404443,-0.0623725400129953,0.4082382628039458,-0.1962496233363467,-0.1596586318527402
31,Pascal Siakam,10,0.017,-0.019269405106082122,-0.7195577239159956,0.04550743468252769,-0.09609617636605593,-0.31373544412952514
32,Paul George,3,0.352,-0.052189967771608864,-0.5457779215644615,-0.1289681200730818,-0.025163970394155837,0.7878779318326786
33,Rudy Gobert,10,0.008,-1.2165677299355206,-1.3551143527316831,1.1898672503383545,1.7309998268029576,-0.7063275239449934
34,Rudy Gobert,11,0.001,-1.037438361108856,-1.1976951457073066,0.9060643714175122,1.0998538080438873,-0.330456958640184
35,Russell Westbrook,10,0.008,-0.281365162635884,1.0489655705027932,0.5236255259066513,-0.6079530662453623,0.5892263394460517
36,Russell Westbrook,11,0.005,-0.5017259269284563,0.7286072956801225,0.16989901218183656,-0.4355302568219284,-0.3658293931819623
37,Stephen Curry,3,0.449,0.3496679351110276,-0.05117386871778724,-0.656650285675413,-0.6322116866187891,-0.05037159058664856
38,Stephen Curry,5,0.173,0.5449877034612621,-0.1363600463410883,-0.7430119304253201,-0.394477206959206,-0.1411103972694884
